page,country,rev_id,score,FIPS,Type,TimeFrame,Data (M),Population,Region
Mehrangiz Manouchehrian,Iran,769149609,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Nasrollah Sajjadi,Iran,770483990,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hamid Rasaee,Iran,770590080,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Reza Shiran,Iran,770772931,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Ruhollah Beigi,Iran,771084954,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Habib Boromand Dashghapu,Iran,771084958,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Feyz Sarabi,Iran,771084960,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hashem Hashemzadeh Herisi,Iran,771084972,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mir Ghesmat Mosavi Asl,Iran,771084998,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Seyyed Mohammadi Ali Mosavi,Iran,771085007,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hassan Namazi,Iran,771085012,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Haji-Mirza Hassan Roshdieh,Iran,771085015,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Taghi Pourmohammadi,Iran,771085045,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Shaban Jafari,Iran,771462312,Start,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mohammad Sattarifar,Iran,771823045,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Mahmoud Nabavian,Iran,771973579,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
Hassan Ameli,Iran,772122443,Stub,IR,Country,2019,84.15,84150000,SOUTH ASIA
